,Country,Category,Technology,Year,annual_km_user,capex_total,residual_value,residual_value_pct,insurance_annaul_cost,MaintenanceCost,FuelConsumption,annual_fuel_cost,annual_toll_cost,Unitary_Wage_km,annual_driver_cost
0,ITALY,HDT,BET,2026,156000,297500.0,59466.56518735549,0.1998876140751445,2973.3282593677745,0.152,165.0,180180.0,0.0,0.43,67080.0
1,ITALY,HDT,FCET,2026,156000,270300.0,54029.62208451155,0.1998876140751445,2701.481104225578,0.145,8.32,181708.8,0.0,0.43,67080.0
2,ITALY,HDT,ICE-D,2026,156000,131500.0,26285.2212508815,0.1998876140751445,1314.261062544075,0.214,30.7,71838.0,50700.0,0.43,67080.0
3,ITALY,HDT,ICE-NG,2026,156000,131500.0,26285.2212508815,0.1998876140751445,1314.261062544075,0.214,25.7,60138.0,50700.0,0.43,67080.0
