,Country,Category,Technology,Year,YearlyMileageKm,VehicleLifeY,TotalCapexEur,ResidualValueEur,InsuranceCostEur,MaintenanceCostEur,AnnualFuelCostEur,AnnualTollCostEur,AnnualDriverCostEur,ETSCO2CostEur,CRF,TCO_CAPEX_EUR,TCO_CAPEX_EUR_per_km,TCO_FUEL_EUR_per_km,TCO_TOLL_EUR_per_km,TCO_WAGES_EUR_per_km,TCO_MAINT_EUR_per_km,TCO_ETS_CO2_per_km,TCO_TOTAL_EUR_per_km
0,ITALY,HDT,BET,2026,156000,7,297500.0,59466,2973,23712.0,180180.0,0.0,67080.0,,0.18555321963115923,48330.59508168336,0.30981150693386766,1.155,0.0,0.43,0.152,,
1,ITALY,HDT,FCET,2026,156000,7,270300.0,54029,2701,22620.0,181708.8,0.0,67080.0,,0.18555321963115923,43911.81036285044,0.28148596386442587,1.1647999999999998,0.0,0.43,0.145,,
2,ITALY,HDT,ICE-D,2026,156000,7,131500.0,26285,1314,33384.0,71838.0,50700.0,67080.0,5776,0.18555321963115923,21362.932003492417,0.1369418718172591,0.4605,0.325,0.43,0.214,0.03702564102564103,1.6034675128429001
3,ITALY,HDT,ICE-NG,2026,156000,7,131500.0,26285,1314,33384.0,60138.0,50700.0,67080.0,,0.18555321963115923,21362.932003492417,0.1369418718172591,0.3855,0.325,0.43,0.214,,
