Category,Year,Technology,BatteryCost,BatterySize,BatteryCostTotal,PowerTrainCost,PowerTrain,PowerTrainCostTotal,RestOfTruckCostTotal,TruckCostTotal
LDT,2026,BET,200,100,20000,50,130,6500,35000,61500
MDT,2026,BET,200,300,60000,50,300,15000,70000,145000
HDT,2026,BET,200,600,120000,50,550,27500,150000,297500
LDT,2030,BET,200,100,20000,50,130,6500,35000,61500
MDT,2030,BET,200,300,60000,50,300,15000,70000,145000
HDT,2030,BET,200,600,120000,50,550,27500,150000,297500
LDT,2035,BET,200,100,20000,50,130,6500,35000,61500
MDT,2035,BET,200,300,60000,50,300,15000,70000,145000
HDT,2035,BET,200,600,120000,50,550,27500,150000,297500
