Category,Year,Technology,FuelTankCost,TankSize,FuelTankCostTotal,PowerTrainCost,PowerTrain,PowerTrainCostTotal,RestOfTruckCostTotal,TruckCostTotal
LDT,2026,ICE-NG,1.5,120,180,100,140,14000,35000,49180
MDT,2026,ICE-NG,1.5,300,450,100,200,20000,70000,90450
HDT,2026,ICE-NG,1.5,1000,1500,100,400,40000,90000,131500
LDT,2030,ICE-NG,1.5,120,180,100,140,14000,35000,49180
MDT,2030,ICE-NG,1.5,300,450,100,200,20000,70000,90450
HDT,2030,ICE-NG,1.5,1000,1500,100,400,40000,90000,131500
LDT,2035,ICE-NG,1.5,120,180,100,140,14000,35000,49180
MDT,2035,ICE-NG,1.5,300,450,100,200,20000,70000,90450
HDT,2035,ICE-NG,1.5,1000,1500,100,400,40000,90000,131500
