Category,Year,Technology,FuelCellsCost,FuelCellsPower,FuelCellsTotal,BatteryCost,BatterySize,BatteryCostTotal,H2TankCost,H2Tank,H2TankCostTotal,PowerTrainCost,PowerTrain,PowerTrainCostTotal,RestOfTruckCostTotal,TruckCostTotal
LDT,2026,FCET,500,0,0,200,0,0,450,0,0,40,0,0,0,0
MDT,2026,FCET,500,180,90000,200,72,14400,450,31,13950,40,350,14000,70000,202350
HDT,2026,FCET,500,200,100000,200,164,32800,450,70,31500,40,400,16000,90000,270300
LDT,2030,FCET,500,0,0,200,0,0,450,0,0,40,0,0,0,0
MDT,2030,FCET,500,180,90000,200,72,14400,450,31,13950,40,350,14000,70000,202350
HDT,2030,FCET,500,200,100000,200,164,32800,450,70,31500,40,400,16000,90000,270300
LDT,2035,FCET,500,0,0,200,0,0,450,0,0,40,0,0,0,0
MDT,2035,FCET,500,180,90000,200,72,14400,450,31,13950,40,350,14000,70000,202350
HDT,2035,FCET,500,200,100000,200,164,32800,450,70,31500,40,400,16000,90000,270300
